Number of iterations: 31 


### ### DATASET_INFO ### ### ### ### ### Algorithm__SlimeMould ### ### ### ### ### ### Algorithm__GreyWolf ### ### ### ### ### ### Algorithm__Dragonfly ### ### ### ### ### ### Algorithm__IbmQuantumEigensolver ### ### ###
FileName nItems Capacity Objective Solution ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### 

t3_d2_n10_r10.dat 10 10 13 [1,0,1,0,0,0,0,0,1,0] ### 100.0 13.0 0.0 13.0 13.0 0.75 ### 0.0 12.0 0.0 12 12 295.86 ### 93.55 12.94 0.25 13 12 515.49 ### 100.0 13.0 0.0 13 13 79.66 ### 

t3_d2_n10_r20.dat 10 19 25 [1,0,1,0,0,0,0,1,0,0] ### 100.0 25.0 0.0 25.0 25.0 0.61 ### 100.0 25.0 0.0 25 25 301.44 ### 100.0 25.0 0.0 25 25 521.04 ### 100.0 25.0 0.0 25 25 183.49 ### 

t3_d2_n10_r30.dat 10 30 40 [1,1,1,0,0,0,0,1,0,0] ### 100.0 40.0 0.0 40.0 40.0 0.74 ### 100.0 40.0 0.0 40 40 305.43 ### 45.16 39.13 1.24 40 35 522.72 ### 100.0 40.0 0.0 40 40 175.72 ### 

t3_d2_n10_r40.dat 10 39 53 [1,0,1,0,1,0,0,0,1,0] ### 100.0 53.0 0.0 53.0 53.0 0.87 ### 100.0 53.0 0.0 53 53 295.48 ### 61.29 52.19 1.03 53 50 522.37 ### 100.0 53.0 0.0 53 53 391.21 ### 

t3_d2_n10_r50.dat 10 47 57 [1,1,0,0,0,0,0,1,0,0] ### 100.0 57.0 0.0 57.0 57.0 1.01 ### 100.0 57.0 0.0 57 57 296.58 ### 83.87 56.19 1.84 57 52 526.09 ### 100.0 57.0 0.0 57 57 388.88 ### 

t3_d2_n6_r10.dat 6 9 10 [1,0,0,1,0,0] ### 100.0 10.0 0.0 10.0 10.0 0.48 ### 100.0 10.0 0.0 10 10 211.83 ### 100.0 10.0 0.0 10 10 515.24 ### 100.0 10.0 0.0 10 10 7.6 ### 

t3_d2_n6_r20.dat 6 19 22 [1,0,0,0,0,1] ### 100.0 22.0 0.0 22.0 22.0 0.65 ### 100.0 22.0 0.0 22 22 210.89 ### 100.0 22.0 0.0 22 22 516.3 ### 100.0 22.0 0.0 22 22 11.47 ### 

t3_d2_n6_r30.dat 6 27 36 [1,1,0,0,1,0] ### 100.0 36.0 0.0 36.0 36.0 0.59 ### 0.0 33.0 0.0 33 33 211.99 ### 100.0 36.0 0.0 36 36 516.7 ### 100.0 36.0 0.0 36 36 11.66 ### 

t3_d2_n6_r40.dat 6 39 47 [1,0,0,1,1,0] ### 100.0 47.0 0.0 47.0 47.0 0.53 ### 100.0 47.0 0.0 47 47 214.3 ### 100.0 47.0 0.0 47 47 519.48 ### 100.0 47.0 0.0 47 47 19.94 ### 

t3_d2_n6_r50.dat 6 47 57 [1,0,1,0,0,0] ### 100.0 57.0 0.0 57.0 57.0 0.66 ### 0.0 52.0 0.0 52 52 212.22 ### 100.0 57.0 0.0 57 57 522.56 ### 100.0 57.0 0.0 57 57 20.25 ### 

t3_d2_n7_r10.dat 7 10 12 [1,1,0,0,0,0,0] ### 100.0 12.0 0.0 12.0 12.0 0.81 ### 0.0 10.0 0.0 10 10 233.58 ### 90.32 11.9 0.3 12 11 522.28 ### 100.0 12.0 0.0 12 12 11.65 ### 

t3_d2_n7_r20.dat 7 19 24 [1,0,0,1,0,0,1] ### 100.0 24.0 0.0 24.0 24.0 0.6 ### 100.0 24.0 0.0 24 24 236.56 ### 100.0 24.0 0.0 24 24 515.31 ### 100.0 24.0 0.0 24 24 19.96 ### 

t3_d2_n7_r30.dat 7 30 36 [1,1,0,0,1,0,0] ### 100.0 36.0 0.0 36.0 36.0 0.63 ### 100.0 36.0 0.0 36 36 251.69 ### 96.77 35.94 0.35 36 34 1445.84 ### 100.0 36.0 0.0 36 36 57.69 ### 

t3_d2_n7_r40.dat 7 39 50 [1,0,1,0,1,0,1] ### 100.0 50.0 0.0 50.0 50.0 1.4 ### 100.0 50.0 0.0 50 50 664.99 ### 100.0 50.0 0.0 50 50 1476.21 ### 100.0 50.0 0.0 50 50 108.52 ### 

t3_d2_n7_r50.dat 7 47 57 [1,0,1,0,0,0,0] ### 100.0 57.0 0.0 57.0 57.0 3.12 ### 0.0 52.0 0.0 52 52 661.34 ### 96.77 56.84 0.88 57 52 1469.25 ### 100.0 57.0 0.0 57 57 108.56 ### 

t3_d2_n8_r10.dat 8 10 13 [1,0,0,1,0,0,0,1] ### 100.0 13.0 0.0 13.0 13.0 1.76 ### 0.0 12.0 0.0 12 12 719.7 ### 100.0 13.0 0.0 13 13 1472.74 ### 100.0 13.0 0.0 13 13 56.49 ### 

t3_d2_n8_r20.dat 8 19 25 [1,0,1,0,0,0,0,1] ### 100.0 25.0 0.0 25.0 25.0 1.52 ### 100.0 25.0 0.0 25 25 723.51 ### 100.0 25.0 0.0 25 25 1059.43 ### 100.0 25.0 0.0 25 25 49.87 ### 

t3_d2_n8_r30.dat 8 30 40 [1,1,1,0,0,0,0,1] ### 100.0 40.0 0.0 40.0 40.0 0.61 ### 100.0 40.0 0.0 40 40 332.7 ### 83.87 39.65 1.0 40 36 663.91 ### 100.0 40.0 0.0 40 40 49.54 ### 

t3_d2_n8_r40.dat 8 39 51 [1,0,1,0,0,0,0,1] ### 100.0 51.0 0.0 51.0 51.0 1.15 ### 0.0 50.0 0.0 50 50 331.9 ### 100.0 51.0 0.0 51 51 666.51 ### 100.0 51.0 0.0 51 51 103.3 ### 

t3_d2_n8_r50.dat 8 47 57 [1,1,0,0,0,0,0,1] ### 100.0 57.0 0.0 57.0 57.0 0.91 ### 100.0 57.0 0.0 57 57 323.44 ### 96.77 56.84 0.88 57 52 664.06 ### 100.0 57.0 0.0 57 57 101.03 ### 

t3_d2_n9_r10.dat 9 10 13 [1,0,1,0,0,0,0,0,1] ### 100.0 13.0 0.0 13.0 13.0 0.9 ### 0.0 12.0 0.0 12 12 351.15 ### 90.32 12.9 0.3 13 12 663.27 ### 100.0 13.0 0.0 13 13 49.33 ### 

t3_d2_n9_r20.dat 9 19 25 [1,0,1,0,0,0,0,1,0] ### 100.0 25.0 0.0 25.0 25.0 0.95 ### 100.0 25.0 0.0 25 25 355.21 ### 100.0 25.0 0.0 25 25 662.55 ### 100.0 25.0 0.0 25 25 99.94 ### 

t3_d2_n9_r30.dat 9 30 40 [1,1,1,0,0,0,0,1,0] ### 100.0 40.0 0.0 40.0 40.0 0.83 ### 100.0 40.0 0.0 40 40 353.07 ### 64.52 39.32 1.28 40 35 661.04 ### 100.0 40.0 0.0 40 40 100.62 ### 

t3_d2_n9_r40.dat 9 39 53 [1,0,1,0,1,0,0,0,1] ### 100.0 53.0 0.0 53.0 53.0 1.0 ### 100.0 53.0 0.0 53 53 353.74 ### 77.42 52.55 0.84 53 51 910.42 ### 100.0 53.0 0.0 53 53 478.67 ### 

t3_d2_n9_r50.dat 9 47 57 [1,1,0,0,0,0,0,1,0] ### 100.0 57.0 0.0 57.0 57.0 2.09 ### 100.0 57.0 0.0 57 57 781.45 ### 87.1 56.35 1.68 57 52 1543.8 ### 100.0 57.0 0.0 57 57 695.26 ### 

