Number of iterations: 31 


### ### DATASET_INFO ### ### ### ### ### Algorithm__SlimeMould ### ### ### ### ### ### Algorithm__GreyWolf ### ### ### ### ### ### Algorithm__Dragonfly ### ### ### ### ### ### Algorithm__IbmQuantumEigensolver ### ### ###
FileName nItems Capacity Objective Solution ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### 

t2_d1_n10_r10.dat 10 11 12 [0,1,1,0,1,0,0,0,1,0] ### 100.0 12.0 0.0 12.0 12.0 1.82 ### 0.0 11.0 0.0 11 11 629.33 ### 100.0 12.0 0.0 12 12 729.33 ### 100.0 12.0 0.0 12 12 88.97 ### 

t2_d1_n10_r20.dat 10 21 25 [0,0,1,0,1,0,0,0,1,0] ### 100.0 25.0 0.0 25.0 25.0 0.94 ### 100.0 25.0 0.0 25 25 588.18 ### 80.65 24.71 0.68 25 22 672.01 ### 100.0 25.0 0.0 25 25 180.91 ### 

t2_d1_n10_r30.dat 10 31 33 [0,0,0,0,1,0,0,0,1,0] ### 100.0 33.0 0.0 33.0 33.0 0.8 ### 100.0 33.0 0.0 33 33 320.42 ### 87.1 32.58 1.1 33 29 536.22 ### 100.0 33.0 0.0 33 33 177.07 ### 

t2_d1_n10_r40.dat 10 41 46 [0,1,1,0,0,0,0,0,0,1] ### 100.0 46.0 0.0 46.0 46.0 0.81 ### 0.0 44.0 0.0 44 44 306.15 ### 67.74 44.87 1.95 46 40 532.65 ### 100.0 46.0 0.0 46 46 398.19 ### 

t2_d1_n10_r50.dat 10 51 57 [0,0,1,0,0,0,0,0,0,1] ### 100.0 57.0 0.0 57.0 57.0 0.83 ### 100.0 57.0 0.0 57 57 312.1 ### 87.1 56.39 1.66 57 50 536.45 ### 100.0 57.0 0.0 57 57 395.74 ### 

