FileName,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver

t2_d2_n10_r10.dat,13.0,12.0,12.806451612903226,13.0,

t2_d2_n10_r20.dat,20.0,20.0,19.70967741935484,20.0,

t2_d2_n10_r30.dat,35.0,33.0,34.354838709677416,35.0,

t2_d2_n10_r40.dat,42.0,41.0,41.774193548387096,42.0,

t2_d2_n10_r50.dat,50.0,47.0,49.806451612903224,50.0,

t2_d2_n5_r10.dat,12.0,10.0,11.96774193548387,12.0,

t2_d2_n5_r20.dat,15.0,14.0,15.0,15.0,

t2_d2_n5_r30.dat,35.0,33.0,34.935483870967744,35.0,

t2_d2_n5_r40.dat,15.0,15.0,15.0,15.0,

t2_d2_n5_r50.dat,49.0,42.0,49.0,49.0,

t2_d2_n6_r10.dat,12.0,10.0,11.903225806451612,12.0,

t2_d2_n6_r20.dat,15.0,15.0,15.0,15.0,

t2_d2_n6_r30.dat,35.0,33.0,34.87096774193548,35.0,

t2_d2_n6_r40.dat,40.0,39.0,40.0,40.0,

t2_d2_n6_r50.dat,49.0,47.0,49.0,49.0,

t2_d2_n7_r10.dat,13.0,12.0,13.0,13.0,

t2_d2_n7_r20.dat,18.0,16.0,17.967741935483872,18.0,

t2_d2_n7_r30.dat,35.0,33.0,34.74193548387097,35.0,

t2_d2_n7_r40.dat,40.0,40.0,39.96774193548387,40.0,

t2_d2_n7_r50.dat,50.0,47.0,50.0,50.0,

t2_d2_n8_r10.dat,13.0,12.0,12.741935483870968,13.0,

t2_d2_n8_r20.dat,20.0,18.0,19.387096774193548,20.0,

t2_d2_n8_r30.dat,35.0,33.0,34.74193548387097,35.0,

t2_d2_n8_r40.dat,40.0,40.0,39.87096774193548,40.0,

t2_d2_n8_r50.dat,50.0,47.0,49.903225806451616,50.0,

t2_d2_n9_r10.dat,13.0,12.0,12.903225806451612,13.0,

t2_d2_n9_r20.dat,20.0,18.0,19.225806451612904,20.0,

t2_d2_n9_r30.dat,35.0,33.0,33.935483870967744,35.0,

t2_d2_n9_r40.dat,42.0,41.0,41.74193548387097,42.0,

t2_d2_n9_r50.dat,50.0,47.0,49.903225806451616,50.0,

