FileName,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver

t2_d1_n10_r10.dat,12.0,11.0,12.0,12.0,

t2_d1_n10_r20.dat,25.0,25.0,24.70967741935484,25.0,

t2_d1_n10_r30.dat,33.0,33.0,32.58064516129032,33.0,

t2_d1_n10_r40.dat,46.0,44.0,44.87096774193548,46.0,

t2_d1_n10_r50.dat,57.0,57.0,56.38709677419355,57.0,

t2_d1_n5_r10.dat,11.0,10.0,11.0,11.0,

t2_d1_n5_r20.dat,22.0,22.0,22.0,22.0,

t2_d1_n5_r30.dat,28.0,28.0,28.0,28.0,

t2_d1_n5_r40.dat,40.0,40.0,40.0,40.0,

t2_d1_n5_r50.dat,47.0,47.0,47.0,47.0,

t2_d1_n6_r10.dat,11.0,10.0,11.0,11.0,

t2_d1_n6_r20.dat,22.0,22.0,22.0,22.0,

t2_d1_n6_r30.dat,30.0,30.0,29.93548387096774,30.0,

t2_d1_n6_r40.dat,40.0,40.0,40.0,40.0,

t2_d1_n6_r50.dat,47.0,47.0,47.0,47.0,

t2_d1_n7_r10.dat,11.0,10.0,11.0,11.0,

t2_d1_n7_r20.dat,24.0,22.0,24.0,24.0,

t2_d1_n7_r30.dat,30.0,30.0,29.93548387096774,30.0,

t2_d1_n7_r40.dat,40.0,40.0,40.0,40.0,

t2_d1_n7_r50.dat,50.0,50.0,49.41935483870968,50.0,

t2_d1_n8_r10.dat,12.0,11.0,12.0,12.0,

t2_d1_n8_r20.dat,24.0,22.0,24.0,24.0,

t2_d1_n8_r30.dat,30.0,30.0,29.806451612903224,30.0,

t2_d1_n8_r40.dat,41.0,41.0,40.903225806451616,41.0,

t2_d1_n8_r50.dat,50.0,50.0,49.774193548387096,50.0,

t2_d1_n9_r10.dat,12.0,11.0,12.0,12.0,

t2_d1_n9_r20.dat,25.0,25.0,24.93548387096774,25.0,

t2_d1_n9_r30.dat,33.0,33.0,33.0,33.0,

t2_d1_n9_r40.dat,41.0,41.0,40.774193548387096,41.0,

t2_d1_n9_r50.dat,52.0,52.0,51.806451612903224,52.0,
