FileName,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver
t3_d2_n10_r10.dat,13.0,12.0,12.935483870967742,13.0,
t3_d2_n10_r20.dat,25.0,25.0,25.0,25.0,
t3_d2_n10_r30.dat,40.0,40.0,39.12903225806452,40.0,
t3_d2_n10_r40.dat,53.0,53.0,52.193548387096776,53.0,
t3_d2_n10_r50.dat,57.0,57.0,56.193548387096776,57.0,
t3_d2_n6_r10.dat,10.0,10.0,10.0,10.0,
t3_d2_n6_r20.dat,22.0,22.0,22.0,22.0,
t3_d2_n6_r30.dat,36.0,33.0,36.0,36.0,
t3_d2_n6_r40.dat,47.0,47.0,47.0,47.0,
t3_d2_n6_r50.dat,57.0,52.0,57.0,57.0,
t3_d2_n7_r10.dat,12.0,10.0,11.903225806451612,12.0,
t3_d2_n7_r20.dat,24.0,24.0,24.0,24.0,
t3_d2_n7_r30.dat,36.0,36.0,35.935483870967744,36.0,
t3_d2_n7_r40.dat,50.0,50.0,50.0,50.0,
t3_d2_n7_r50.dat,57.0,52.0,56.83870967741935,57.0,
t3_d2_n8_r10.dat,13.0,12.0,13.0,13.0,
t3_d2_n8_r20.dat,25.0,25.0,25.0,25.0,
t3_d2_n8_r30.dat,40.0,40.0,39.645161290322584,40.0,
t3_d2_n8_r40.dat,51.0,50.0,51.0,51.0,
t3_d2_n8_r50.dat,57.0,57.0,56.83870967741935,57.0,
t3_d2_n9_r10.dat,13.0,12.0,12.903225806451612,13.0,
t3_d2_n9_r20.dat,25.0,25.0,25.0,25.0,
t3_d2_n9_r30.dat,40.0,40.0,39.32258064516129,40.0,
t3_d2_n9_r40.dat,53.0,53.0,52.54838709677419,53.0,
t3_d2_n9_r50.dat,57.0,57.0,56.354838709677416,57.0,
