FileName,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver

t1_d3_n10_r10.dat,23.0,23.0,21.612903225806452,23.0,

t1_d3_n10_r20.dat,38.0,38.0,37.70967741935484,38.0,

t1_d3_n10_r30.dat,77.0,77.0,76.80645161290323,77.0,

t1_d3_n10_r40.dat,81.0,81.0,79.25806451612904,81.0,

t1_d3_n10_r50.dat,92.0,81.0,91.0,92.0,

t1_d3_n5_r10.dat,15.0,15.0,14.903225806451612,15.0,

t1_d3_n5_r20.dat,19.0,19.0,19.0,19.0,

t1_d3_n5_r30.dat,53.0,53.0,53.0,53.0,

t1_d3_n5_r40.dat,43.0,43.0,43.0,43.0,

t1_d3_n5_r50.dat,72.0,58.0,72.0,72.0,

t1_d3_n6_r10.dat,23.0,20.0,23.0,23.0,

t1_d3_n6_r20.dat,23.0,23.0,23.0,23.0,

t1_d3_n6_r30.dat,53.0,53.0,53.0,53.0,

t1_d3_n6_r40.dat,43.0,43.0,43.0,43.0,

t1_d3_n6_r50.dat,72.0,72.0,71.51612903225806,72.0,

t1_d3_n7_r10.dat,23.0,23.0,23.0,23.0,

t1_d3_n7_r20.dat,23.0,23.0,23.0,23.0,

t1_d3_n7_r30.dat,53.0,53.0,53.0,53.0,

t1_d3_n7_r40.dat,59.0,59.0,58.483870967741936,59.0,

t1_d3_n7_r50.dat,92.0,81.0,91.80645161290323,92.0,

t1_d3_n8_r10.dat,23.0,23.0,22.419354838709676,23.0,

t1_d3_n8_r20.dat,23.0,23.0,23.0,23.0,

t1_d3_n8_r30.dat,53.0,53.0,53.0,53.0,

t1_d3_n8_r40.dat,61.0,61.0,60.935483870967744,61.0,

t1_d3_n8_r50.dat,92.0,81.0,91.41935483870968,92.0,

t1_d3_n9_r10.dat,23.0,23.0,22.225806451612904,23.0,

t1_d3_n9_r20.dat,38.0,38.0,37.54838709677419,38.0,

t1_d3_n9_r30.dat,77.0,77.0,76.87096774193549,77.0,

t1_d3_n9_r40.dat,61.0,61.0,60.774193548387096,61.0,

t1_d3_n9_r50.dat,92.0,81.0,91.09677419354838,92.0,
