Number of iterations: 31 


### ### DATASET_INFO ### ### ### ### ### Algorithm__SlimeMould ### ### ### ### ### ### Algorithm__GreyWolf ### ### ### ### ### ### Algorithm__Dragonfly ### ### ### ### ### ### Algorithm__IbmQuantumEigensolver ### ### ###
FileName nItems Capacity Objective Solution ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### 

t2_d3_n10_r10.dat 10 10 11 [0,1,0,0,1,0,0,0,1,0] ### 100.0 11.0 0.0 11.0 11.0 1.02 ### 0.0 10.0 0.0 10 10 399.43 ### 100.0 11.0 0.0 11 11 695.29 ### 100.0 11.0 0.0 11 11 109.75 ### 

t2_d3_n10_r20.dat 10 20 25 [0,0,1,0,1,0,0,0,1,0] ### 100.0 25.0 0.0 25.0 25.0 1.17 ### 0.0 22.0 0.0 22 22 389.37 ### 87.1 24.68 0.86 25 22 682.64 ### 100.0 25.0 0.0 25 25 235.75 ### 

t2_d3_n10_r30.dat 10 24 27 [0,0,0,0,0,0,0,0,1,0] ### 100.0 27.0 0.0 27.0 27.0 1.1 ### 0.0 23.0 0.0 23 23 396.55 ### 96.77 26.87 0.71 27 23 687.46 ### 100.0 27.0 0.0 27 27 231.55 ### 

t2_d3_n10_r40.dat 10 40 44 [0,1,0,0,1,0,0,0,0,1] ### 100.0 44.0 0.0 44.0 44.0 0.8 ### 100.0 44.0 0.0 44 44 382.24 ### 77.42 43.19 1.51 44 40 697.4 ### 100.0 44.0 0.0 44 44 517.55 ### 

t2_d3_n10_r50.dat 10 42 46 [0,0,0,1,0,0,0,0,1,0] ### 100.0 46.0 0.0 46.0 46.0 1.21 ### 0.0 43.0 0.0 43 43 406.86 ### 90.32 45.71 0.89 46 43 694.87 ### 100.0 46.0 0.0 46 46 518.15 ### 

t2_d3_n5_r10.dat 5 8 8 [0,1,1,0,1] ### 100.0 8.0 0.0 8.0 8.0 0.46 ### 100.0 8.0 0.0 8 8 248.9 ### 100.0 8.0 0.0 8 8 693.71 ### 100.0 8.0 0.0 8 8 7.46 ### 

t2_d3_n5_r20.dat 5 18 19 [0,0,1,0,1] ### 100.0 19.0 0.0 19.0 19.0 0.55 ### 100.0 19.0 0.0 19 19 258.81 ### 100.0 19.0 0.0 19 19 1046.03 ### 100.0 19.0 0.0 19 19 8.14 ### 

t2_d3_n5_r30.dat 5 14 13 [0,0,0,1,1] ### 100.0 13.0 0.0 13.0 13.0 0.4 ### 100.0 13.0 0.0 13 13 204.8 ### 100.0 13.0 0.0 13 13 575.4 ### 100.0 13.0 0.0 13 13 5.87 ### 

t2_d3_n5_r40.dat 5 34 35 [0,1,1,0,0] ### 100.0 35.0 0.0 35.0 35.0 0.49 ### 100.0 35.0 0.0 35 35 353.16 ### 96.77 34.97 0.18 35 34 1480.37 ### 100.0 35.0 0.0 35 35 33.11 ### 

t2_d3_n5_r50.dat 5 35 36 [1,0,1,0,0] ### 100.0 36.0 0.0 36.0 36.0 0.62 ### 0.0 32.0 0.0 32 32 525.08 ### 100.0 36.0 0.0 36 36 1406.51 ### 100.0 36.0 0.0 36 36 31.78 ### 

t2_d3_n6_r10.dat 6 8 9 [0,1,0,0,1,1] ### 100.0 9.0 0.0 9.0 9.0 1.32 ### 0.0 8.0 0.0 8 8 314.52 ### 100.0 9.0 0.0 9 9 1069.71 ### 100.0 9.0 0.0 9 9 16.27 ### 

t2_d3_n6_r20.dat 6 18 19 [0,0,1,0,1,0] ### 100.0 19.0 0.0 19.0 19.0 1.16 ### 100.0 19.0 0.0 19 19 423.92 ### 100.0 19.0 0.0 19 19 1045.17 ### 100.0 19.0 0.0 19 19 13.2 ### 

t2_d3_n6_r30.dat 6 22 23 [0,0,0,0,0,1] ### 100.0 23.0 0.0 23.0 23.0 0.56 ### 0.0 18.0 0.0 18 18 232.22 ### 100.0 23.0 0.0 23 23 554.05 ### 100.0 23.0 0.0 23 23 11.6 ### 

t2_d3_n6_r40.dat 6 34 35 [0,1,1,0,0,0] ### 100.0 35.0 0.0 35.0 35.0 0.54 ### 100.0 35.0 0.0 35 35 211.96 ### 100.0 35.0 0.0 35 35 577.0 ### 100.0 35.0 0.0 35 35 22.27 ### 

t2_d3_n6_r50.dat 6 42 40 [0,1,1,1,0,0] ### 100.0 40.0 0.0 40.0 40.0 0.52 ### 100.0 40.0 0.0 40 40 233.92 ### 100.0 40.0 0.0 40 40 579.55 ### 100.0 40.0 0.0 40 40 22.29 ### 

t2_d3_n7_r10.dat 7 10 10 [1,1,0,0,1,0,0] ### 100.0 10.0 0.0 10.0 10.0 0.54 ### 100.0 10.0 0.0 10 10 261.3 ### 100.0 10.0 0.0 10 10 584.52 ### 100.0 10.0 0.0 10 10 13.51 ### 

t2_d3_n7_r20.dat 7 20 22 [0,0,1,1,0,0,0] ### 100.0 22.0 0.0 22.0 22.0 0.71 ### 100.0 22.0 0.0 22 22 258.55 ### 100.0 22.0 0.0 22 22 536.42 ### 100.0 22.0 0.0 22 22 20.68 ### 

t2_d3_n7_r30.dat 7 22 23 [0,0,0,0,0,1,0] ### 100.0 23.0 0.0 23.0 23.0 0.64 ### 0.0 19.0 0.0 19 19 239.19 ### 100.0 23.0 0.0 23 23 545.64 ### 100.0 23.0 0.0 23 23 20.64 ### 

t2_d3_n7_r40.dat 7 40 40 [0,0,1,0,1,0,0] ### 100.0 40.0 0.0 40.0 40.0 0.67 ### 100.0 40.0 0.0 40 40 242.2 ### 100.0 40.0 0.0 40 40 539.74 ### 100.0 40.0 0.0 40 40 41.65 ### 

t2_d3_n7_r50.dat 7 42 42 [0,1,1,0,0,0,1] ### 100.0 42.0 0.0 42.0 42.0 3.48 ### 0.0 40.0 0.0 40 40 263.46 ### 90.32 41.71 0.99 42 37 591.87 ### 100.0 42.0 0.0 42 42 43.0 ### 

t2_d3_n8_r10.dat 8 10 11 [0,0,0,0,0,0,0,1] ### 100.0 11.0 0.0 11.0 11.0 0.79 ### 0.0 10.0 0.0 10 10 282.57 ### 96.77 10.97 0.18 11 10 578.15 ### 100.0 11.0 0.0 11 11 21.88 ### 

t2_d3_n8_r20.dat 8 20 22 [0,0,1,1,0,0,0,0] ### 100.0 22.0 0.0 22.0 22.0 0.77 ### 100.0 22.0 0.0 22 22 272.31 ### 100.0 22.0 0.0 22 22 535.98 ### 100.0 22.0 0.0 22 22 39.63 ### 

