Number of iterations: 31 


### ### DATASET_INFO ### ### ### ### ### Algorithm__SlimeMould ### ### ### ### ### ### Algorithm__GreyWolf ### ### ### ### ### ### Algorithm__Dragonfly ### ### ### ### ### ### Algorithm__IbmQuantumEigensolver ### ### ###
FileName nItems Capacity Objective Solution ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### 

t2_d2_n10_r10.dat 10 10 13 [1,1,0,0,0,0,0,0,1,0] ### 100.0 13.0 0.0 13.0 13.0 0.84 ### 0.0 12.0 0.0 12 12 330.03 ### 80.65 12.81 0.4 13 12 557.37 ### 100.0 13.0 0.0 13 13 85.31 ### 

t2_d2_n10_r20.dat 10 16 20 [1,0,1,0,0,0,1,1,0,0] ### 100.0 20.0 0.0 20.0 20.0 0.67 ### 100.0 20.0 0.0 20 20 312.17 ### 83.87 19.71 0.68 20 18 558.28 ### 100.0 20.0 0.0 20 20 187.29 ### 

t2_d2_n10_r30.dat 10 30 35 [1,1,0,0,1,0,0,0,0,0] ### 100.0 35.0 0.0 35.0 35.0 0.73 ### 0.0 33.0 0.0 33 33 324.39 ### 67.74 34.35 0.93 35 33 559.93 ### 100.0 35.0 0.0 35 35 183.74 ### 

t2_d2_n10_r40.dat 10 34 42 [1,0,0,1,0,0,0,0,1,0] ### 100.0 42.0 0.0 42.0 42.0 0.97 ### 0.0 41.0 0.0 41 41 325.93 ### 80.65 41.77 0.49 42 40 555.92 ### 100.0 42.0 0.0 42 42 414.7 ### 

t2_d2_n10_r50.dat 10 46 50 [0,0,0,0,0,1,1,0,0,0] ### 100.0 50.0 0.0 50.0 50.0 3.23 ### 0.0 47.0 0.0 47 47 332.72 ### 93.55 49.81 0.74 50 47 560.13 ### 100.0 50.0 0.0 50 50 420.37 ### 

t2_d2_n5_r10.dat 5 10 12 [1,1,0,0,1] ### 100.0 12.0 0.0 12.0 12.0 0.54 ### 0.0 10.0 0.0 10 10 201.99 ### 96.77 11.97 0.18 12 11 551.42 ### 100.0 12.0 0.0 12 12 5.75 ### 

t2_d2_n5_r20.dat 5 16 15 [0,1,0,0,0] ### 100.0 15.0 0.0 15.0 15.0 0.5 ### 0.0 14.0 0.0 14 14 199.37 ### 100.0 15.0 0.0 15 15 551.19 ### 100.0 15.0 0.0 15 15 7.72 ### 

t2_d2_n5_r30.dat 5 30 35 [1,1,0,0,1] ### 100.0 35.0 0.0 35.0 35.0 0.47 ### 0.0 33.0 0.0 33 33 203.73 ### 96.77 34.94 0.35 35 33 552.49 ### 100.0 35.0 0.0 35 35 8.09 ### 

t2_d2_n5_r40.dat 5 16 15 [1,0,0,1,0] ### 100.0 15.0 0.0 15.0 15.0 0.51 ### 100.0 15.0 0.0 15 15 199.1 ### 100.0 15.0 0.0 15 15 554.24 ### 100.0 15.0 0.0 15 15 8.14 ### 

t2_d2_n5_r50.dat 5 46 49 [0,1,0,0,0] ### 100.0 49.0 0.0 49.0 49.0 0.47 ### 0.0 42.0 0.0 42 42 203.91 ### 100.0 49.0 0.0 49 49 545.95 ### 100.0 49.0 0.0 49 49 12.23 ### 

t2_d2_n6_r10.dat 6 10 12 [1,1,0,0,1,0] ### 100.0 12.0 0.0 12.0 12.0 0.53 ### 0.0 10.0 0.0 10 10 225.22 ### 90.32 11.9 0.3 12 11 549.27 ### 100.0 12.0 0.0 12 12 8.12 ### 

t2_d2_n6_r20.dat 6 16 15 [1,0,0,0,0,1] ### 100.0 15.0 0.0 15.0 15.0 0.45 ### 100.0 15.0 0.0 15 15 223.08 ### 100.0 15.0 0.0 15 15 554.62 ### 100.0 15.0 0.0 15 15 12.62 ### 

t2_d2_n6_r30.dat 6 30 35 [1,1,0,0,1,0] ### 100.0 35.0 0.0 35.0 35.0 0.47 ### 0.0 33.0 0.0 33 33 226.21 ### 93.55 34.87 0.49 35 33 560.13 ### 100.0 35.0 0.0 35 35 12.71 ### 

t2_d2_n6_r40.dat 6 34 40 [1,1,1,1,0,0] ### 100.0 40.0 0.0 40.0 40.0 0.68 ### 0.0 39.0 0.0 39 39 233.67 ### 100.0 40.0 0.0 40 40 558.47 ### 100.0 40.0 0.0 40 40 21.54 ### 

t2_d2_n6_r50.dat 6 46 49 [0,1,0,0,0,0] ### 100.0 49.0 0.0 49.0 49.0 0.6 ### 0.0 47.0 0.0 47 47 229.1 ### 100.0 49.0 0.0 49 49 564.47 ### 100.0 49.0 0.0 49 49 29.36 ### 

t2_d2_n7_r10.dat 7 10 13 [1,0,1,0,0,0,1] ### 100.0 13.0 0.0 13.0 13.0 0.69 ### 0.0 12.0 0.0 12 12 347.42 ### 100.0 13.0 0.0 13 13 1361.56 ### 100.0 13.0 0.0 13 13 36.16 ### 

t2_d2_n7_r20.dat 7 16 18 [1,0,0,0,1,0,1] ### 100.0 18.0 0.0 18.0 18.0 1.63 ### 0.0 16.0 0.0 16 16 728.72 ### 96.77 17.97 0.18 18 17 841.1 ### 100.0 18.0 0.0 18 18 25.83 ### 

t2_d2_n7_r30.dat 7 30 35 [1,1,0,0,1,0,0] ### 100.0 35.0 0.0 35.0 35.0 0.69 ### 0.0 33.0 0.0 33 33 299.0 ### 87.1 34.74 0.67 35 33 654.08 ### 100.0 35.0 0.0 35 35 25.05 ### 

t2_d2_n7_r40.dat 7 34 40 [1,1,1,1,0,0,0] ### 100.0 40.0 0.0 40.0 40.0 0.67 ### 100.0 40.0 0.0 40 40 309.95 ### 96.77 39.97 0.18 40 39 654.65 ### 100.0 40.0 0.0 40 40 49.01 ### 

t2_d2_n7_r50.dat 7 46 50 [0,0,0,0,0,1,1] ### 100.0 50.0 0.0 50.0 50.0 1.19 ### 0.0 47.0 0.0 47 47 295.62 ### 100.0 50.0 0.0 50 50 650.07 ### 100.0 50.0 0.0 50 50 38.92 ### 

t2_d2_n8_r10.dat 8 10 13 [1,0,1,0,0,0,1,0] ### 100.0 13.0 0.0 13.0 13.0 0.65 ### 0.0 12.0 0.0 12 12 318.96 ### 77.42 12.74 0.51 13 11 634.28 ### 100.0 13.0 0.0 13 13 23.19 ### 

t2_d2_n8_r20.dat 8 16 20 [1,0,1,0,0,0,1,1] ### 100.0 20.0 0.0 20.0 20.0 0.65 ### 0.0 18.0 0.0 18 18 296.51 ### 70.97 19.39 0.97 20 17 610.86 ### 100.0 20.0 0.0 20 20 44.5 ### 

t2_d2_n8_r30.dat 8 30 35 [1,1,0,0,1,0,0,0] ### 100.0 35.0 0.0 35.0 35.0 0.64 ### 0.0 33.0 0.0 33 33 298.95 ### 87.1 34.74 0.67 35 33 612.14 ### 100.0 35.0 0.0 35 35 44.65 ### 

t2_d2_n8_r40.dat 8 34 40 [1,1,1,1,0,0,0,0] ### 100.0 40.0 0.0 40.0 40.0 0.68 ### 100.0 40.0 0.0 40 40 314.29 ### 87.1 39.87 0.34 40 39 608.28 ### 100.0 40.0 0.0 40 40 92.09 ### 

t2_d2_n8_r50.dat 8 46 50 [0,0,0,0,0,1,1,0] ### 100.0 50.0 0.0 50.0 50.0 1.56 ### 0.0 47.0 0.0 47 47 297.98 ### 90.32 49.9 0.3 50 49 609.21 ### 100.0 50.0 0.0 50 50 92.24 ### 

t2_d2_n9_r10.dat 9 10 13 [1,1,0,0,0,0,0,0,1] ### 100.0 13.0 0.0 13.0 13.0 0.85 ### 0.0 12.0 0.0 12 12 330.11 ### 93.55 12.9 0.39 13 11 611.4 ### 100.0 13.0 0.0 13 13 45.87 ### 

t2_d2_n9_r20.dat 9 16 20 [1,0,1,0,0,0,1,1,0] ### 100.0 20.0 0.0 20.0 20.0 0.73 ### 0.0 18.0 0.0 18 18 324.23 ### 61.29 19.23 0.97 20 18 603.58 ### 100.0 20.0 0.0 20 20 92.79 ### 

t2_d2_n9_r30.dat 9 30 35 [1,1,0,0,1,0,0,0,0] ### 100.0 35.0 0.0 35.0 35.0 0.78 ### 0.0 33.0 0.0 33 33 326.49 ### 54.84 33.94 1.46 35 28 606.88 ### 100.0 35.0 0.0 35 35 93.06 ### 

t2_d2_n9_r40.dat 9 34 42 [1,0,0,1,0,0,0,0,1] ### 100.0 42.0 0.0 42.0 42.0 1.04 ### 0.0 41.0 0.0 41 41 338.44 ### 80.65 41.74 0.57 42 40 623.65 ### 100.0 42.0 0.0 42 42 219.16 ### 

t2_d2_n9_r50.dat 9 46 50 [0,0,0,0,0,1,1,0,0] ### 100.0 50.0 0.0 50.0 50.0 1.62 ### 0.0 47.0 0.0 47 47 348.79 ### 96.77 49.9 0.53 50 47 644.42 ### 100.0 50.0 0.0 50 50 225.23 ### 

